id,duration,order,ammsa_01_menlead,ammsa_02_misgivings,ammsa_03_emancipated,ammsa_04_custfalsacc,ammsa_05_battlesexes,ammsa_06_bionecessit,ammsa_07_amplesuppor,ammsa_08_mediadepict,ammsa_09_cupcoffee,ammsa_10_suggremarks,ammsa_11_darkalleys,ammsa_12_assertright,ammsa_13_praiselooks,ammsa_14_fascination,ammsa_15_playcoy,ammsa_16_exaggerate,ammsa_17_urgepartner,ammsa_18_singleinvit,ammsa_19_politicians,ammsa_20_marital,ammsa_21_steamboil,ammsa_22_retailiate,ammsa_23_onthejob,ammsa_24_hitbreaks,ammsa_25_robbery,ammsa_26_alcohol,ammsa_27_wllmntgest,ammsa_28_shelters,ammsa_29_envdestr,ammsa_30_punish,asi_01_nottrlycmplte,asi_02_spclfavours,asi_03_disaster_r,asi_04_inncntrem,asi_05_offended,asi_06_rominvlvd_r,asi_07_feminists_r,asi_08_qualpurity,asi_09_chersihed,asi_10_appreciate,asi_11_controlmen,asi_12_adore,asi_13_complete_r,asi_14_exgrtwork,asi_15_tightleash,asi_16_faircomp,asi_17_pedestal,asi_18_kickteasing_r,asi_19_moralsensib,asi_20_sacrifice,asi_21_reasondemands,asi_22_refinedsense,irma_01_whiledrunk,irma_02_sluttycloth,irma_03_roomalone,irma_04_actslut,irma_05_nounclear,irma_06_girlinitiate,irma_07_strongdesire,irma_08_carriedaway,irma_09_sexdriveooc,irma_10_drunkunint,irma_11_didntrealize,irma_12_bothdrunk,irma_13_physicresist,irma_14_physfightbck,irma_15_bruisesmarks,irma_16_noweapon,irma_17_deosntsayno,irma_18_agreeregret,irma_19_getbckatguys,irma_20_ledonregrets,irma_21_emotionalprb,irma_22_caughtcheat,sc_01_sexwanybody,sc_02_giveintooeasil,sc_03_biostrngerdriv,sc_04_dirtyjokes,sc_05_masturbation,sc_06_oralsex,sc_07_norespect,sc_08_menstrual,sc_09_havechildren,sc_10_sexualoutlet_r,sdo_01_simplyinferio,sdo_02_getwhatwant,sdo_03_chanceinlife,sdo_04_steponothers,sdo_05_fewerproblems,sdo_06_topbottom,sdo_07_infstayplace,sdo_08_mustbekept,sdo_09_groupsequal_r,sdo_10_ourideal_r,sdo_11_equalchance_r,sdo_12_eqlizeconds_r,sdo_13_increased_r,sdo_14_fewerprblms_r,sdo_15_eqlincomes_r,sdo_16_dominate_r,att_control,att_control_8_text
496,1613,2,3,3,3,5,4,2,2,5,5,2,2,2,5,4,5,5,2,5,5,4,5,5,5,5,4,5,4,2,6,2,4,3,3,4,4,5,2,5,5,4,4,2,4,4,3,5,2,3,3,3,1,2,4,2,2,3,4,2,4,4,3,2,2,2,3,2,2,2,3,4,5,4,4,4,5,5,2,5,6,2,5,7,2,7,6,2,6,5,6,5,3,5,3,3,6,6,5,2,2,3,8,+
497,1386,1,6,4,3,2,5,3,3,2,5,5,1,4,5,4,4,4,6,5,4,4,2,2,4,5,4,1,4,3,3,1,3,4,5,4,7,4,1,4,7,7,4,7,4,7,3,4,3,7,4,2,2,7,1,1,1,3,3,4,2,3,2,2,1,1,1,2,2,1,3,4,3,3,3,3,2,2,4,3,6,2,2,5,2,6,4,4,5,3,4,5,2,3,5,5,5,5,6,5,3,6,8,+
498,1245,1,5,3,6,7,6,5,5,3,1,5,2,3,5,4,6,5,2,4,5,4,5,5,6,5,7,6,6,5,4,6,2,5,4,4,4,5,2,5,3,4,3,3,7,5,4,4,7,3,4,3,1,4,3,2,2,3,4,4,5,4,4,1,2,2,3,3,3,1,3,4,4,4,3,4,2,4,7,4,7,3,1,5,2,5,2,1,2,1,2,1,1,2,6,7,7,6,6,7,7,7,8,+
499,2469,1,5,2,3,3,3,2,3,2,2,5,1,2,5,5,2,2,4,3,3,5,5,4,5,3,4,5,3,4,3,2,4,3,4,3,4,4,2,4,3,2,3,2,3,4,4,4,2,3,2,2,3,4,1,2,1,3,2,2,2,4,4,2,3,1,2,2,2,1,2,4,3,3,2,2,1,3,5,3,7,2,3,5,1,5,5,2,6,2,5,5,3,5,4,5,2,6,3,3,2,6,8,+
500,183,2,5,4,2,4,4,3,3,3,3,5,4,4,3,3,4,2,3,2,2,4,4,4,3,4,5,3,5,3,5,3,3,7,7,7,4,4,7,4,3,2,5,4,7,7,2,1,3,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA
501,4287,1,3,1,1,1,1,1,2,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,1,2,4,1,1,4,1,2,1,1,5,1,3,6,7,1,7,1,1,7,1,1,1,7,7,5,1,1,7,1,1,1,1,1,1,2,1,3,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,7,1,4,1,1,7,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,8,+
502,384,2,3,2,2,2,4,2,5,3,2,2,2,2,4,2,2,2,2,3,2,3,3,2,2,4,3,2,2,4,4,3,2,2,4,2,2,3,3,3,4,3,7,4,3,3,3,2,2,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,6,2,2,4,1,6,2,5,5,4,5,4,4,5,5,5,6,5,5,4,3,5,8,+
503,870,1,4,2,2,5,6,4,2,2,2,4,1,2,2,4,5,2,2,2,5,2,5,2,5,2,4,6,4,2,4,6,7,3,5,4,5,7,7,4,2,7,7,2,2,4,3,5,2,5,2,2,7,2,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,6,2,7,2,4,7,2,6,2,2,1,2,2,2,2,2,6,6,6,6,6,6,6,6,8,+
504,728,1,3,3,2,4,5,2,4,3,2,4,2,3,4,5,3,3,3,2,5,3,1,4,4,4,6,4,3,3,1,6,4,4,7,4,4,7,2,7,7,7,4,4,3,4,4,4,3,3,7,3,3,4,3,3,1,3,2,3,2,3,2,2,1,3,2,1,2,1,2,2,2,2,3,3,3,4,4,4,5,2,3,4,1,5,4,3,5,4,5,5,4,5,5,5,5,4,5,4,4,4,8,+
505,1231,1,2,4,5,4,4,1,2,4,5,4,5,1,6,6,2,5,1,4,4,1,6,6,4,1,4,5,4,4,2,1,5,5,1,2,4,1,1,7,7,2,4,2,2,3,4,5,7,7,4,7,1,2,4,3,1,3,3,1,2,4,5,1,1,1,1,4,1,1,3,3,3,2,2,2,4,1,6,2,6,2,1,5,1,6,1,1,1,1,4,1,1,4,6,6,7,7,6,6,6,7,8,+
506,4425,2,5,4,5,4,6,6,4,2,1,6,3,7,4,4,5,6,6,6,4,5,3,6,5,1,7,5,5,5,3,1,2,5,3,4,6,5,3,4,4,4,7,4,6,5,7,5,4,4,7,2,7,3,4,3,1,5,4,4,3,3,4,4,3,2,1,1,2,1,4,4,5,4,3,4,3,3,5,3,7,1,4,4,2,6,5,3,4,5,2,3,2,2,6,5,6,6,5,5,6,7,8,+
507,2217,1,5,2,4,4,4,2,3,4,1,4,1,1,2,4,5,4,4,4,4,2,1,1,4,3,4,2,1,3,2,3,7,7,7,2,2,6,5,7,4,3,1,7,7,2,2,1,2,1,7,7,3,4,1,1,1,2,1,2,2,2,1,2,1,1,3,1,1,1,3,2,2,1,1,3,1,1,1,4,7,4,7,4,4,7,7,1,1,1,1,1,1,1,7,7,7,7,1,7,7,7,4,NA
508,1289,2,5,4,6,6,4,4,3,4,5,4,2,4,4,5,4,5,6,3,3,5,3,5,5,4,7,5,5,5,4,2,7,5,7,7,7,4,4,7,2,4,2,7,5,7,2,4,2,7,2,4,2,7,4,2,2,4,1,4,4,3,5,3,2,2,3,5,3,2,4,4,4,3,3,3,3,5,5,4,7,4,7,7,4,5,3,1,4,4,5,2,4,6,5,4,4,5,5,6,7,5,8,+
509,757,1,5,1,1,2,2,1,1,1,2,5,1,1,2,1,1,1,1,5,4,1,1,1,5,5,4,2,2,4,1,1,1,1,4,3,4,5,6,2,3,3,1,1,7,4,4,2,1,5,2,1,4,4,1,1,1,3,1,1,3,1,3,1,1,1,1,1,1,1,4,3,3,1,2,3,1,1,5,1,7,1,1,5,1,7,1,5,1,2,4,1,1,1,7,7,7,7,7,7,3,6,8,+
510,924,2,4,2,2,4,3,4,4,4,4,4,1,3,4,3,3,2,2,4,4,2,3,2,4,4,5,4,4,4,4,3,2,7,5,7,7,3,3,4,7,7,7,7,7,4,7,7,4,6,7,3,3,7,1,2,2,3,1,2,1,2,2,1,1,2,2,2,1,1,2,2,3,1,2,3,2,4,4,4,6,4,4,4,3,6,3,2,4,5,4,4,2,2,4,5,4,4,4,3,3,4,8,+
511,931,1,2,1,2,2,1,1,2,2,1,2,1,1,1,2,1,1,3,1,2,1,1,1,2,2,4,3,2,2,1,4,2,7,2,2,1,5,7,2,2,7,3,4,5,2,2,2,2,4,3,2,7,3,1,2,1,2,1,3,2,2,1,2,2,3,2,2,2,2,1,3,1,2,3,2,2,3,4,3,6,5,4,4,3,4,3,2,2,2,2,1,2,2,6,6,6,6,6,6,6,3,8,+
512,71586,2,5,5,5,4,6,7,7,1,5,5,1,7,5,4,4,5,6,7,5,4,6,5,5,5,4,4,6,7,5,5,5,5,7,5,7,2,1,7,4,4,4,5,2,7,4,4,7,7,7,4,1,4,4,3,3,5,3,4,4,4,5,1,1,3,1,4,3,1,4,5,4,5,3,3,3,4,6,4,7,1,5,4,1,7,5,1,3,7,4,5,3,5,5,6,4,6,6,4,7,4,8,+
513,989,1,2,2,5,5,5,2,2,4,2,5,1,2,2,2,1,5,3,2,5,4,1,5,5,2,2,2,5,2,2,2,1,5,7,4,4,7,3,1,1,2,1,7,7,4,1,3,1,6,4,2,2,7,3,2,2,3,1,2,3,2,1,2,1,1,1,2,1,2,1,3,4,3,1,4,1,6,2,2,6,2,2,4,2,6,1,1,1,1,1,2,1,1,7,7,7,7,7,7,5,7,8,+
